City,Country,Edition,Sport,Discipline,Athlete,NOC,Country,Gender,Event,Event_gender,Medal
Athens,Greece,1896,Tennis,Tennis,"TAPAVICZA, Momcsillo",HUN,Hungary,Men,singles,Men,Bronze
Athens,Greece,1896,Tennis,Tennis,"BOLAND, John",GBR,United Kingdom,Men,singles,Men,Gold
Athens,Greece,1896,Tennis,Tennis,"KASDAGLIS, Dionysios",GRE,Greece,Men,singles,Men,Silver
Athens,Greece,1896,Weightlifting,Weightlifting,"NIKOLOPOULOS, Alexandros",GRE,Greece,Men,heavyweight - one hand lift,Men,Bronze
Athens,Greece,1896,Weightlifting,Weightlifting,"ELLIOTT, Launceston",GBR,United Kingdom,Men,heavyweight - one hand lift,Men,Gold
Athens,Greece,1896,Weightlifting,Weightlifting,"JENSEN, Viggo",DEN,Denmark,Men,heavyweight - one hand lift,Men,Silver
Athens,Greece,1896,Weightlifting,Weightlifting,"VERSIS, Sotirios",GRE,Greece,Men,heavyweight - two hand lift,Men,Bronze
Athens,Greece,1896,Weightlifting,Weightlifting,"JENSEN, Viggo",DEN,Denmark,Men,heavyweight - two hand lift,Men,Gold
Athens,Greece,1896,Weightlifting,Weightlifting,"ELLIOTT, Launceston",GBR,United Kingdom,Men,heavyweight - two hand lift,Men,Silver
Athens,Greece,1896,Wrestling,Wrestling Gre-R,"CHRISTOPOULOS, Stephanos",GRE,Greece,Men,open event,Men,Bronze
Athens,Greece,1896,Wrestling,Wrestling Gre-R,"SCHUMANN, Carl",GER,Germany,Men,open event,Men,Gold
Athens,Greece,1896,Wrestling,Wrestling Gre-R,"TSITAS, Georgios",GRE,Greece,Men,open event,Men,Silver
Paris,France,1900,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Hungary,Men,1500m freestyle,Men,Bronze
Paris,France,1900,Aquatics,Swimming,"JARVIS, John Arthur",GBR,United Kingdom,Men,1500m freestyle,Men,Gold
Paris,France,1900,Aquatics,Swimming,"WAHLE, Otto",AUT,Austria,Men,1500m freestyle,Men,Silver
Paris,France,1900,Aquatics,Swimming,"DROST, Johannes",NED,Netherlands,Men,200m backstroke,Men,Bronze
Paris,France,1900,Aquatics,Swimming,"HOPPENBERG, Ernst",GER,Germany,Men,200m backstroke,Men,Gold
Paris,France,1900,Aquatics,Swimming,"RUBERL, Karl",AUT,Austria,Men,200m backstroke,Men,Silver
Paris,France,1900,Aquatics,Swimming,"RUBERL, Karl",AUT,Austria,Men,200m freestyle,Men,Bronze
Paris,France,1900,Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Australia,Men,200m freestyle,Men,Gold
Paris,France,1900,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Hungary,Men,200m freestyle,Men,Silver
Paris,France,1900,Aquatics,Swimming,"KEMP, Peter",GBR,United Kingdom,Men,200m obstacle event,Men,Bronze
Paris,France,1900,Aquatics,Swimming,"LANE, Frederick C.V.",AUS,Australia,Men,200m obstacle event,Men,Gold
Paris,France,1900,Aquatics,Swimming,"WAHLE, Otto",AUT,Austria,Men,200m obstacle event,Men,Silver
Paris,France,1900,Aquatics,Swimming,HOUBEN,FRA,France,Men,200m team swimming,Men,Bronze
Paris,France,1900,Aquatics,Swimming,"LEUILLIEUX, Jean",FRA,France,Men,200m team swimming,Men,Bronze
Paris,France,1900,Aquatics,Swimming,"MARTIN, Louis",FRA,France,Men,200m team swimming,Men,Bronze
Paris,France,1900,Aquatics,Swimming,"MERCHEZ, DÇsirÇ",FRA,France,Men,200m team swimming,Men,Bronze
Paris,France,1900,Aquatics,Swimming,TARTARA,FRA,France,Men,200m team swimming,Men,Bronze
Paris,France,1900,Aquatics,Swimming,"FREY, Julius",GER,Germany,Men,200m team swimming,Men,Gold
Paris,France,1900,Aquatics,Swimming,"HAINLE, Max",GER,Germany,Men,200m team swimming,Men,Gold
Paris,France,1900,Aquatics,Swimming,"HOPPENBERG, Ernst",GER,Germany,Men,200m team swimming,Men,Gold
Paris,France,1900,Aquatics,Swimming,"SCHôNE, Max",GER,Germany,Men,200m team swimming,Men,Gold
Paris,France,1900,Aquatics,Swimming,"VON PETERSDORFF, Herbert",GER,Germany,Men,200m team swimming,Men,Gold
Paris,France,1900,Aquatics,Swimming,BERTRAND,FRA,France,Men,200m team swimming,Men,Silver
Paris,France,1900,Aquatics,Swimming,CADET,FRA,France,Men,200m team swimming,Men,Silver
Paris,France,1900,Aquatics,Swimming,"HOCHEPIED, Maurice",FRA,France,Men,200m team swimming,Men,Silver
Paris,France,1900,Aquatics,Swimming,"HOCHEPIED, Victor",FRA,France,Men,200m team swimming,Men,Silver
Paris,France,1900,Aquatics,Swimming,VERBECKE,FRA,France,Men,200m team swimming,Men,Silver
Paris,France,1900,Aquatics,Swimming,"MARTIN, Louis",FRA,France,Men,4000m freestyle,Men,Bronze
Paris,France,1900,Aquatics,Swimming,"JARVIS, John Arthur",GBR,United Kingdom,Men,4000m freestyle,Men,Gold
Paris,France,1900,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Hungary,Men,4000m freestyle,Men,Silver
Paris,France,1900,Aquatics,Swimming,"LYKKEBERG, Peder",DEN,Denmark,Men,underwater swimming,Men,Bronze
Paris,France,1900,Aquatics,Swimming,"DE VENDEVILLE, Charles",FRA,France,Men,underwater swimming,Men,Gold
Paris,France,1900,Aquatics,Swimming,"SIX, AndrÇ",FRA,France,Men,underwater swimming,Men,Silver
Paris,France,1900,Aquatics,Water polo,"BURGESS, Thomas",FRA,France,Men,water polo,Men,Bronze
Paris,France,1900,Aquatics,Water polo,COULON,FRA,France,Men,water polo,Men,Bronze
Paris,France,1900,Aquatics,Water polo,"DECUYPER, Alphonse",FRA,France,Men,water polo,Men,Bronze
Paris,France,1900,Aquatics,Water polo,DEVENOT,FRA,France,Men,water polo,Men,Bronze
Paris,France,1900,Aquatics,Water polo,FARDELLE,FRA,France,Men,water polo,Men,Bronze
Paris,France,1900,Aquatics,Water polo,FAVIER,FRA,France,Men,water polo,Men,Bronze
Paris,France,1900,Aquatics,Water polo,"LAUFRAY, Louis",FRA,France,Men,water polo,Men,Bronze
Paris,France,1900,Aquatics,Water polo,LERICHE,FRA,France,Men,water polo,Men,Bronze
Paris,France,1900,Aquatics,Water polo,"MARTIN, Louis",FRA,France,Men,water polo,Men,Bronze
Paris,France,1900,Aquatics,Water polo,"MERCHEZ, DÇsirÇ",FRA,France,Men,water polo,Men,Bronze
Paris,France,1900,Aquatics,Water polo,"PESLIER, Henri",FRA,France,Men,water polo,Men,Bronze
Paris,France,1900,Aquatics,Water polo,PESLOY,FRA,France,Men,water polo,Men,Bronze
Paris,France,1900,Aquatics,Water polo,"TREFFEL, Charles",FRA,France,Men,water polo,Men,Bronze
Paris,France,1900,Aquatics,Water polo,"VASSEUR, Paul",FRA,France,Men,water polo,Men,Bronze
Paris,France,1900,Aquatics,Water polo,"COE, Thomas",GBR,United Kingdom,Men,water polo,Men,Gold
Paris,France,1900,Aquatics,Water polo,"DERBYSHIRE, John Henry",GBR,United Kingdom,Men,water polo,Men,Gold
Paris,France,1900,Aquatics,Water polo,"KEMP, Peter",GBR,United Kingdom,Men,water polo,Men,Gold
